date,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2011/11/29,2595.086,2609.187,2580.293,2608.569,2573.321,3002587800,34962425966,3,0.001893,1,1.369749,1
2011/11/30,2600.099,2601.9,2507.184,2521.52,2608.569,4235264500,42454205363,3,0.00267,1,-3.337043,1
2011/12/1,2596.153,2630.664,2577.722,2583.613,2521.52,6352025200,66146809487,3,0.004004,1,2.462523,1
2011/12/2,2570.56,2575.692,2543.532,2557.311,2583.613,3218370300,33168419336,3,0.002029,1,-1.018032,1
2011/12/5,2561.2,2561.2,2517.179,2521.385,2557.311,3206338800,32749927399,3,0.002012,1,-1.404836,1
2011/12/6,2515.044,2525.666,2499.574,2516.341,2521.385,2629758100,26310941611,3,0.00165,1,-0.200047,1
2011/12/7,2517.341,2534.529,2509.777,2528.228,2516.341,2326183900,23433730534,3,0.00146,1,0.472391,1
2011/12/8,2525.041,2549.101,2494.694,2525.001,2528.228,2777774400,27843683566,3,0.001743,1,-0.127641,1
2011/12/9,2506.624,2525.162,2496.972,2503.461,2525.001,2402905900,25477241953,3,0.001508,1,-0.85307,1
2011/12/12,2497.922,2502.046,2476.116,2477.692,2503.461,2190124900,21200444065,3,0.001374,1,-1.029337,1
2011/12/13,2467.016,2472.656,2418.673,2421.928,2477.692,3571753400,33269154181,3,0.00224,1,-2.25064,1
2011/12/14,2415.944,2433.55,2392.299,2397.48,2421.928,2532010900,23753606413,3,0.001588,1,-1.009444,1
2011/12/15,2382.441,2384.473,2340.447,2340.788,2397.48,3675083400,33900401991,3,0.002304,1,-2.364645,1
2011/12/16,2339.976,2390.378,2332.14,2390.129,2340.788,3630233900,33652058785,3,0.002276,1,2.107872,1
2011/12/19,2370.418,2387.89,2321.657,2384.408,2390.129,3790975200,33711370957,3,0.002377,1,-0.239357,1
2011/12/20,2376.709,2412.572,2373.86,2377.073,2384.408,3240232700,29967658690,3,0.002031,1,-0.307622,1
2011/12/21,2397.275,2404.775,2337.693,2339.108,2377.073,3120952500,30917839680,3,0.001956,1,-1.597136,1
2011/12/22,2325.27,2358.468,2294.607,2341.335,2339.108,3668385800,31845455341,3,0.002299,1,0.095209,1
2011/12/23,2337.382,2382.709,2331.958,2359.159,2341.335,3316190400,29910296920,3,0.002078,1,0.761274,1
2011/12/26,2345.555,2369.818,2334.794,2335.702,2359.159,2822408700,25033053118,3,0.001766,1,-0.994296,1
2011/12/27,2332.826,2346.384,2302.411,2305.035,2335.702,2927731400,26777021276,3,0.001831,1,-1.312967,1
2011/12/28,2295.866,2309.645,2267.114,2307.928,2305.035,3288202000,28839274201,3,0.002057,1,0.125511,1
2011/12/29,2297.288,2323.488,2293.872,2311.361,2307.928,3088770000,26868223305,3,0.001932,1,0.148753,1
2011/12/30,2318.673,2349.029,2318.673,2345.742,2311.361,3586524300,32362650284,3,0.002243,1,1.487472,1
2012/1/4,2361.499,2365.988,2298.298,2298.753,2345.742,3434456700,32572551267,3,0.00219,1,-2.003162,0
2012/1/5,2290.78,2316.657,2272.153,2276.385,2298.753,4301648000,37635272074,3,0.002743,1,-0.973046,0
2012/1/6,2274.352,2291.885,2254.567,2290.601,2276.385,3519899200,31079362325,3,0.002243,1,0.624502,0
2012/1/9,2291.182,2368.889,2271.717,2368.57,2290.601,5472734100,51478126954,3,0.003487,1,3.403866,0
2012/1/10,2365.768,2449.955,2361.281,2447.349,2368.57,8115498900,75249157103,3,0.00517,1,3.326017,0
2012/1/11,2444.757,2453.146,2423.322,2435.608,2447.349,5870567400,57587219272,3,0.00374,1,-0.479752,0
2012/1/12,2426.82,2464.378,2423.321,2435.219,2435.608,4712127500,47877407259,3,0.003002,1,-0.015968,0
2012/1/13,2438.405,2445.787,2374.545,2394.334,2435.219,4551399700,47228338588,3,0.002899,1,-1.678905,0
2012/1/16,2376.953,2394.498,2345.633,2345.649,2394.334,3052714500,34410385319,3,0.001938,1,-2.033345,0
2012/1/17,2347.568,2462.429,2329.248,2460.601,2345.649,6420564800,64324131068,3,0.004077,1,4.900654,0
2012/1/18,2464.92,2485.498,2414.527,2422.189,2460.601,6389235800,67058838880,3,0.004057,1,-1.561086,0
2012/1/19,2423.857,2480.206,2414.985,2468.35,2422.189,5561572600,56377653304,3,0.003532,1,1.905761,0
2012/1/20,2476.73,2510.34,2462.594,2504.086,2468.35,5452978300,57474475709,3,0.003463,1,1.447762,0
2012/1/30,2508.877,2508.877,2460.396,2460.72,2504.086,4351714800,44770885276,3,0.002763,1,-1.731808,0
2012/1/31,2462.338,2472.839,2447.768,2464.26,2460.72,3070150100,32694132107,3,0.001949,1,0.143862,0
2012/2/1,2458.233,2481.664,2423.45,2428.994,2464.26,3501537400,37752320797,3,0.002223,1,-1.431104,0
2012/2/2,2437.47,2486.238,2429.709,2486.238,2428.994,4206698500,44126383715,3,0.002671,1,2.356702,0
2012/2/3,2478.336,2514.645,2470.28,2506.09,2486.238,4994924000,51507545973,3,0.003171,1,0.798477,0
2012/2/6,2511.172,2520.758,2488.709,2504.322,2506.09,4507990500,47541523547,3,0.002862,1,-0.070551,0
2012/2/7,2489.032,2489.032,2441.698,2457.954,2504.322,3967916400,40034277145,3,0.002519,1,-1.851516,0
2012/2/8,2456.422,2534.162,2450.999,2528.236,2457.954,5618645600,61721305024,3,0.003567,1,2.859369,0
2012/2/9,2525.589,2546.025,2513.131,2529.231,2528.236,5929975100,63456204565,3,0.003765,1,0.03935,0
2012/2/10,2521.676,2560.027,2521.155,2533.624,2529.231,6157587700,60029482361,3,0.003909,1,0.173692,0
2012/2/13,2504.41,2553.446,2496.305,2531.981,2533.624,5191397300,54282622440,3,0.003296,1,-0.06485,0
2012/2/14,2528.967,2533.264,2506.537,2522.107,2531.981,4043010100,43723682304,3,0.002566,1,-0.389972,0
2012/2/15,2515.829,2562.071,2511.289,2549.607,2522.107,5809037000,60422394145,3,0.003686,1,1.090358,0
2012/2/16,2544.641,2559.345,2519.043,2536.074,2549.607,5439543100,55165633314,3,0.003451,1,-0.530786,0
2012/2/17,2551.815,2558.345,2522.856,2537.086,2536.074,3899471600,40458003413,3,0.002473,1,0.039903,0
2012/2/20,2571.907,2574.746,2539.904,2540.706,2537.086,5615332900,56748912893,3,0.00356,1,0.142688,0
2012/2/21,2544.835,2562.909,2520.786,2562.453,2540.706,4789480800,47758225547,3,0.003036,1,0.855936,0
2012/2/22,2564.315,2598.863,2560.343,2597.476,2562.453,7637665600,76421806874,3,0.004841,1,1.366784,0
2012/2/23,2595.779,2614.537,2590.518,2606.256,2597.476,7037712600,72612089253,3,0.004461,1,0.338022,0
2012/2/24,2607.339,2648.017,2602.776,2648.017,2606.256,8599970800,88058616716,3,0.005449,1,1.602336,0
2012/2/27,2658.121,2693.843,2656.573,2656.573,2648.017,10151403400,1.0667E+11,3,0.006432,1,0.323106,0
2012/2/28,2652.342,2671.833,2641.459,2662.463,2656.573,7759253600,77213053038,3,0.004916,1,0.22171,0
2012/2/29,2655.858,2666.647,2631.784,2634.143,2662.463,5912020600,64875221164,3,0.003745,1,-1.06367,0
2012/3/1,2622.737,2647.785,2621.858,2633.345,2634.143,4214844100,46524079738,3,0.002669,1,-0.030298,0
2012/3/2,2637.961,2679.934,2637.961,2679.934,2633.345,6412203400,66981591368,3,0.00406,1,1.769199,0
2012/3/5,2687.74,2694.612,2660.955,2662.698,2679.934,7139545800,74973261138,3,0.00452,1,-0.643153,0
2012/3/6,2654.799,2657.963,2615.6,2621.052,2662.698,6244714800,68852557821,3,0.003952,1,-1.564052,0
2012/3/7,2596.479,2628.585,2594.128,2603.005,2621.052,5694873300,63243293004,3,0.003604,1,-0.688545,0
2012/3/8,2612.403,2645.953,2612.403,2635.791,2603.005,5754941300,64458851045,3,0.003642,1,1.259549,0
2012/3/9,2644.1,2664.414,2631.406,2664.302,2635.791,5525892100,65963441747,3,0.003497,1,1.081686,0
2012/3/12,2663.243,2666.432,2636.423,2654.402,2664.302,6232721600,74367701978,3,0.003944,1,-0.371576,0
